crate,embedding_repos,requirements,scopes,repo_urls
once_cell,13,"1.18.0,1,1.19.0,1.17,*,1.7.2,1.8.0,1.21,1.21.3","runtime,development","https://github.com/nrwl/nx,https://github.com/ijl/orjson,https://github.com/huggingface/tokenizers,https://github.com/google/boringssl,https://github.com/microsoft/onnxruntime,https://github.com/pola-rs/polars,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/fgribreau/mailchecker,https://github.com/ngrok/ngrok-python,https://github.com/formatjs/formatjs,https://github.com/build-trust/ockam"
syn,13,"3,2,*,2.0.102,2.0,3.0",runtime,"https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/vercel/next.js,https://github.com/nodejs/node,https://github.com/chroma-core/chroma,https://github.com/instagram/libcst,https://github.com/pola-rs/polars,https://github.com/datadog/dd-trace-py,https://github.com/eventual-inc/daft,https://github.com/formatjs/formatjs,https://github.com/oxidize-rb/rb-sys,https://github.com/rusterlium/rustler,https://github.com/build-trust/ockam"
bytes,12,"1.9,*,1.0.1,1,1.11,1.10,1.3.0,1.12.1,=1.9.0,0.5",runtime,"https://github.com/facebook/watchman,https://github.com/vercel/next.js,https://github.com/tensorflow/tensorboard,https://github.com/elastic/elasticsearch,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/datadog/dd-trace-py,https://github.com/ngrok/ngrok-python,https://github.com/facebook/relay,https://github.com/build-trust/ockam,https://github.com/discord/loqui,https://github.com/dlesl/erqwest"
itertools,12,"0.15.0,0.10.5,*,0.14,0.14.0","runtime,development","https://github.com/facebook/flow,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/chroma-core/chroma,https://github.com/instagram/libcst,https://github.com/hit-scir/ltp,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
quote,12,"1.0.47,1,*,1.0.40,1.0",runtime,"https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/instagram/libcst,https://github.com/pola-rs/polars,https://github.com/datadog/dd-trace-py,https://github.com/eventual-inc/daft,https://github.com/formatjs/formatjs,https://github.com/oxidize-rb/rb-sys,https://github.com/rusterlium/rustler,https://github.com/build-trust/ockam"
tracing-subscriber,12,"0.3.18,*,0.3.17,0.3,0.2,0.3.20","runtime,development","https://github.com/tailwindlabs/tailwindcss,https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/google/boringssl,https://github.com/microsoft/onnxruntime,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/build-trust/ockam,https://github.com/livebook-dev/livebook"
proc-macro2,11,"1.0.107,1,*,1.0.95,1.0",runtime,"https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/pola-rs/polars,https://github.com/datadog/dd-trace-py,https://github.com/eventual-inc/daft,https://github.com/formatjs/formatjs,https://github.com/oxidize-rb/rb-sys,https://github.com/rusterlium/rustler,https://github.com/build-trust/ockam"
byteorder,10,"1.3,*,1.3.4,1.4.2,1.5.0,1.4,1.1,1.2.4",runtime,"https://github.com/facebook/watchman,https://github.com/vercel/next.js,https://github.com/tensorflow/tensorboard,https://github.com/google/flatbuffers,https://github.com/apache/thrift,https://github.com/wandb/wandb,https://github.com/mcu-tools/mcuboot,https://github.com/korczis/gauc.ex,https://github.com/discord/loqui,https://github.com/drbawb/shellac"
indexmap,10,"*,2,2.2.0,2.2.3,1.9.2,2.14.0,2.12",runtime,"https://github.com/pnpm/pnpm,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/coin-or/pulp,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/react/react,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/formatjs/formatjs"
napi,10,"*,3.12.1,3.11.0,3.8.3,=3.8.6,3,2.12.2,2.16.4,3.8.6",runtime,"https://github.com/swc-project/swc,https://github.com/rollup/rollup,https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/chroma-core/chroma,https://github.com/react/react,https://github.com/parcel-bundler/parcel,https://github.com/formatjs/formatjs"
napi-derive,10,"*,3.6.3,3.6.0,3.5.2,=3.5.5,3,2.12.2,2.16.3,2.12.5,3.5.4",runtime,"https://github.com/swc-project/swc,https://github.com/rollup/rollup,https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/chroma-core/chroma,https://github.com/react/react,https://github.com/parcel-bundler/parcel,https://github.com/formatjs/formatjs"
reqwest,10,"*,0.11.0,0.13.3,0.13.4,>=0.13.0,<0.14.0,0.13.2,0.12,0.11","runtime,development","https://github.com/pnpm/pnpm,https://github.com/vercel/next.js,https://github.com/tensorflow/tensorboard,https://github.com/seleniumhq/selenium,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/sferik/x-cli,https://github.com/elixir-explorer/explorer,https://github.com/build-trust/ockam,https://github.com/dlesl/erqwest"
walkdir,10,"2.5.0,2.4.0,*,2.3.3,2.3.2,2.3.1,2,2.3","runtime,development","https://github.com/tailwindlabs/tailwindcss,https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/tensorflow/tensorboard,https://github.com/seleniumhq/selenium,https://github.com/pyo3/maturin,https://github.com/react/react,https://github.com/facebook/relay,https://github.com/formatjs/formatjs"
