purl,ecosystem,dependent_repos,repository_url,bridge_tools,c_crates
pkg:hex/ockam_vault_software,hex,17,https://github.com/build-trust/ockam,Rustler,"aws-lc-fips-sys,aws-lc-sys,libdbus-sys,libmimalloc-sys,libsqlite3-sys,lz4-sys,onig,onig_sys,ring,zstd-sys"
pkg:hex/livebook,hex,13,https://github.com/livebook-dev/livebook,"","ring,vswhom-sys"
pkg:hex/fast_rss,hex,6,https://github.com/avencera/fast_rss,Rustler,rustler_sys
pkg:hex/wasmex,hex,6,https://github.com/tessi/wasmex,Rustler,"ittapi-sys,ring,zstd-sys"
pkg:hex/erbloom,hex,3,https://github.com/vonmo/erbloom,Rustler,rustler_sys
pkg:hex/rox,hex,3,https://github.com/urbint/rox,Rustler,"librocksdb-sys,rocksdb"
pkg:hex/dagger,hex,2,https://github.com/dagger/dagger,"",ring
pkg:hex/ex_robo_cop,hex,2,https://github.com/corneliakelinske/ex_robo_cop,Rustler,"lodepng,rustler_sys"
pkg:hex/loqui,hex,2,https://github.com/discord/loqui,"",backtrace-sys
pkg:hex/blake3,hex,1,https://github.com/thomas-jean/blake3,Rustler,"blake3,rustler_sys"
pkg:hex/bridge_lmdb,hex,1,https://github.com/ironbay/bridge_lmdb,Rustler,"liblmdb-sys,rustler_sys"
pkg:hex/erqwest,hex,1,https://github.com/dlesl/erqwest,"","openssl-sys,rustler_sys"
pkg:hex/ex_jack,hex,1,https://github.com/dulltools/ex_jack,Rustler,rustler_sys
pkg:hex/excoding,hex,1,https://github.com/elixir-ecto/excoding,Rustler,rustler_sys
pkg:hex/imageflow,hex,1,https://github.com/naps62/imageflow_ex,Rustler,"imagequant,imagequant-sys,lcms2-sys,libpng-sys,libwebp-sys,libz-sys,lodepng,mozjpeg-sys,rustler_sys"
pkg:hex/imago,hex,1,https://github.com/lucassifoni/imago,Rustler,backtrace-sys
pkg:hex/k256,hex,1,https://github.com/roosoft/k256,Rustler,rustler_sys
pkg:hex/multihash,hex,1,https://github.com/helium/erlang-multihash,"",rustler_sys
pkg:hex/netcdf,hex,1,https://github.com/dockyard/netcdf,Rustler,"curl-sys,hdf5-src,hdf5-sys,libz-sys,netcdf-src,netcdf-sys,openssl-src,openssl-sys,rustler_sys"
pkg:hex/pdf_to_text,hex,1,https://github.com/remoteoss/pdf_to_text,Rustler,rustler_sys
pkg:hex/phoenix_webcomponent,hex,1,https://github.com/duskmoon-dev/phoenix-duskmoon-ui,Rustler,blake3
pkg:hex/qrusty,hex,1,https://github.com/nbw/qrusty,Rustler,rustler_sys
pkg:hex/resvg,hex,1,https://github.com/mrdotb/resvg_nif,Rustler,rustler_sys
pkg:hex/rustler_elixir_fun,hex,1,https://github.com/qqwy/elixir-rustler_elixir_fun,Rustler,rustler_sys
pkg:hex/tds_encoding,hex,1,https://github.com/mjaric/tds-encoding,Rustler,rustler_sys
pkg:hex/tree_magic,hex,1,https://github.com/bonfire-networks/tree_magic.ex,Rustler,rustler_sys
pkg:hex/value,hex,1,https://github.com/team-softaliza/value,Rustler,rustler_sys
