repository_url,ecosystems,dependent_repos,has_rust,has_c,c_loc,cpp_loc,c_build_tools,brief_languages
https://github.com/mtsmfm/language_server-protocol-ruby,rubygems,2897,0,0,0,0,"","Ruby,JavaScript,TypeScript"
https://github.com/alexcrichton/ssh2-rs,cargo,2888,1,1,46375,118,CMake,"C,Rust,C++,Perl,Emacs Lisp"
https://github.com/bcmyers/num-format,cargo,2885,1,1,1,0,"","Rust,C,Python"
https://github.com/mit-plv/fiat-crypto,cargo,2762,1,1,219451,259,"","Verilog,C,Zig,Rust,Go,Python,Java,OCaml,JavaScript,C++,Haskell"
https://github.com/csparpa/pyowm,pypi,2735,0,0,0,0,"",Python
https://github.com/rapidfuzz/rapidfuzz,pypi,2672,0,1,220243,279112,CMake,"C++,C,Python,Fortran,JavaScript,Objective-C,Common Lisp"
https://github.com/wasmi-labs/wasmi,cargo,2634,1,1,549,0,"","Rust,C,Python"
https://github.com/open-i18n/rust-unic,cargo,2619,1,0,0,0,"",Rust
https://github.com/saghul/pycares,pypi,2612,0,1,32255,12192,CMake,"C,C++,Python"
https://github.com/google/grpc,rubygems,2596,0,1,351614,448340,CMake,"Python,C,C++,PHP,Ruby,Objective-C,C#,JavaScript,Go,Swift,Java,Prolog"
https://github.com/kornelski/deunicode,cargo,2582,1,0,0,0,"","Ruby,Rust"
https://github.com/pyyoshi/cchardet,pypi,2578,0,1,1321,10528,CMake,"Python,C++,C"
https://github.com/kozea/cairosvg,pypi,2524,0,0,0,0,"","Python,JavaScript"
https://github.com/sass/libsass-python,pypi,2445,0,1,1918,30193,"","C++,C,Python,Perl"
https://github.com/rust-rocksdb/rust-rocksdb,cargo,2430,1,1,123232,493474,CMake,"C++,C,Java,Rust,Python"
https://github.com/ua-parser/uap-python,pypi,2410,1,0,0,0,"","Python,JavaScript,Perl,Rust"
https://github.com/10xgenomics/lz4-rs,cargo,2386,1,1,19131,173,"","C,Rust,Python,C++"
https://github.com/paritytech/wasmi,cargo,2379,1,1,549,0,"","Rust,C,Python"
https://github.com/maxmind/maxmind-db-reader-php,packagist,2348,0,1,6999,0,CMake,"C,PHP,Go,Perl"
https://github.com/spatialaudio/python-sounddevice,pypi,2337,0,0,0,0,"",Python
https://github.com/sgrif/pq-sys,cargo,2331,1,1,1058063,915,"","C,Perl,Rust,Prolog,Python,C++,D,Emacs Lisp"
https://gitlab.com/gilrs-project/gilrs,cargo,2326,1,0,0,0,"","Rust,Python"
https://github.com/chef/ffi-yajl,rubygems,2315,0,1,528,0,"","Ruby,C"
https://github.com/maxmind/geoip2-php,packagist,2286,0,0,0,0,"","PHP,Go"
https://github.com/mayeut/pybase64,pypi,2280,0,1,2811,0,CMake,"C,Python"
https://github.com/chef/libyajl2-gem,rubygems,2265,0,1,0,0,"",Ruby
https://github.com/googleapis/common-protos-ruby,rubygems,2261,0,0,0,0,"",Ruby
https://github.com/paddlepaddle/paddle,pypi,2208,0,1,434563,784059,CMake,"C,C++,Python,Go,Java"
https://github.com/open-telemetry/opentelemetry-rust,cargo,2155,1,0,0,0,"",Rust
https://github.com/tikv/jemallocator,cargo,2139,1,1,72413,752,"","C,Rust,C++,Python"
https://github.com/pyenchant/pyenchant,pypi,2133,0,0,0,0,"",Python
https://github.com/haskell/criterion,hackage,2126,0,1,159,0,"","Haskell,C,JavaScript"
https://github.com/readthedocs/sphinx-notfound-page,pypi,2122,0,0,0,0,"",Python
https://github.com/pistondevelopers/freetype-sys,cargo,2114,1,1,193148,156,CMake,"C,Python,Rust,C++,JavaScript,Perl"
https://github.com/rustsec/rustsec,cargo,2113,1,0,0,0,"","Rust,Python,JavaScript"
https://github.com/purpleprotocol/mimalloc_rust,cargo,2085,1,1,33807,1166,CMake,"JavaScript,C,Rust,C++"
https://github.com/jax-ml/ml_dtypes,pypi,2044,0,1,3087,4288,CMake,"Python,C,C++"
https://github.com/snoyberg/yaml,hackage,2037,0,1,184,0,"","Haskell,C"
https://github.com/googlecloudplatform/google-cloud-python,pypi,1999,0,0,423,937,"",Python
https://github.com/lark-parser/lark,pypi,1968,0,0,0,0,"","Python,JavaScript,TypeScript"
https://github.com/rollbar/rollbar-gem,rubygems,1940,0,0,0,0,"","JavaScript,Ruby,TypeScript"
https://github.com/ryanmcgrath/twython,pypi,1924,0,0,0,0,"","Python,JavaScript"
https://github.com/icrar/ijson,pypi,1867,0,1,6289,0,CMake,"C,Python"
https://github.com/aldanor/qoi-rust,cargo,1855,1,1,850,0,"","Rust,C"
https://github.com/hannesg/uri_template,rubygems,1845,0,0,0,0,"",Ruby
https://github.com/diwic/dbus-rs,cargo,1840,1,0,0,0,"",Rust
https://github.com/nov/json-jwt,rubygems,1829,0,0,0,0,"","Ruby,Java"
https://github.com/hajimes/mmh3,pypi,1823,0,1,2505,0,"","C++,C,Python"
https://github.com/maxmind/geoip2-python,pypi,1817,0,0,0,0,"","Python,Go"
https://github.com/askama-rs/askama,cargo,1811,1,0,0,0,"",Rust
https://github.com/milvus-io/pymilvus,pypi,1803,0,0,0,0,"","Python,Go"
https://github.com/dropbox/dropbox-sdk-python,pypi,1792,0,0,0,0,"",Python
https://github.com/neo4j/neo4j-python-driver,pypi,1776,0,0,0,0,"","Python,JavaScript"
https://github.com/maxmind/maxmind-db-reader-python,pypi,1769,0,1,7500,0,CMake,"C,Python,Go,Perl"
https://github.com/hoodie/notify-rust,cargo,1768,1,0,0,0,"",Rust
https://github.com/lextudio/pysnmp,pypi,1733,0,0,0,0,"","Python,JavaScript"
https://github.com/mozillazg/python-pinyin,pypi,1726,0,0,0,0,"",Python
https://github.com/inukshuk/csl-styles,rubygems,1725,0,0,0,0,"",Ruby
https://github.com/alexcrichton/nghttp2-rs,cargo,1720,1,1,54830,49836,CMake,"C,C++,Python,Go,Rust,Ruby"
https://github.com/apache/incubator-mxnet,pypi,1714,0,1,270940,759193,CMake,"C++,Python,C,Rust,Common Lisp,Java,Go,JavaScript,Objective-C,TypeScript,Groovy,Lua,Ruby,Scala"
https://github.com/abetlen/llama-cpp-python,pypi,1685,0,0,0,0,"",Python
https://github.com/line/line-bot-sdk-python,pypi,1664,0,0,0,0,"","Python,Java"
https://github.com/py-pdf/pypdf2,pypi,1626,0,0,0,0,"",Python
https://github.com/defunkt/version_sorter,rubygems,1621,0,1,248,0,"","Ruby,C"
